Название книги,Цена книги,Автор,В наличие
Грокаем глубокое обучение,938₽,Эндрю Траск,Купить
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,1 104₽,Кори Альтхофф,Купить
Python для детей и родителей. Играй и программируй,Нет цены,Брайсон Пэйн,Где купить?
Python для сложных задач: наука о данных и машинное обучение,Нет цены,Дж. Вандер Плас,Где купить?
"Python, Django и PyCharm для начинающих",Нет цены,Анатолий Постолит,Где купить?
Python для детей и родителей,Нет цены,Михаил Райтман,Где купить?
Python на примерах. Практический курс по программированию,Нет цены,А.Н. Васильев,Где купить?
Python для всех,Нет цены,Чарльз Р. Северанс,Где купить?
Python. Великое программирование в Minecraft,Нет цены,Андрей Корягин,Где купить?
Python 3 и PyQt 5. Разработка приложений,Нет цены,Николай Прохоренок,Где купить?
Python. Разработка на основе тестирования,Нет цены,,Где купить?
"Python для детей, которые пока не программируют",Нет цены,Елена Крылова,Где купить?
Python и машинное обучение,Нет цены,Себастьян Рашка,Где купить?
Python для аналитики данных. Практический курс,Нет цены,Павел Меликов,Где купить?
Python. Лучшие практики и инструменты,Нет цены,Михал Яворски,Где купить?
Python для детей,Нет цены,Ханс-Георг Шуманн,Где купить?
"Python на примерах. Практический курс по программированию, 2-е издание",Нет цены,А.Н. Васильев,Где купить?
Python. К вершинам мастерства. Локаничное и эффективное программирование,Нет цены,Лучано Рамальо,Где купить?
Python 3. Самое необходимое,Нет цены,"Владимир Дронов, Николай Прохоренок",Где купить?
Программирование на Python для начинающих,Нет цены,Майк МакГрат,Где купить?
Начинаем программировать на Python. 5-е издание,Нет цены,Тони Гэддис,Где купить?
Большая книга проектов Python,Нет цены,Эл Свейгарт,Где купить?
Алгоритмический тренинг. Решения практических задач на Python и C++,Нет цены,Максим Иванов,Где купить?
Основы искусственного интеллекта в примерах на Python. Самоучитель,Нет цены,Анатолий Постолит,Где купить?
Основы искусственного интеллекта в примерах на Python. Самоучитель,Нет цены,Анатолий Постолит,Где купить?
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Нет цены,Эрик Мэтиз,Где купить?
Minecraft. Программируй свой мир на Python. 2-е межд. изд.,Нет цены,"Дэвид Вэйл, Мартин О'Хэнлон",Где купить?
Программирование на Python. Иллюстрированное руководство для детей,Нет цены,Кэрол Вордерман,Где купить?
Основы программирования на языке Python,Нет цены,Дмитрий Златопольский,Где купить?
Начинаем программировать на Python. 4-е издание,Нет цены,Тони Гэддис,Где купить?
"Предварительная подготовка данных в PYTHON. Том 2. План, примеры и метрики качества",Нет цены,Артем Груздев,Где купить?
"Практикум по математической статистике. Проверка гипотез с использованием Excel, MatCalc, R и Python",Нет цены,Владимир Глебов,Где купить?
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие для СПО.,Нет цены,"Сергей Букунов, Ольга Букунова",Где купить?
Численные методы. Вычислительный практикум. Практическое применение численных методов при использовании алгоритмического языка Python,Нет цены,Петр Вабищевич,Где купить?
Разработка веб-приложений с использованием Flask на языке Python,Нет цены,Мигель Гринберг,Где купить?
Крупномасштабное машинное обучение вместе с Python,Нет цены,"Альберто Боскетти, Лука Массарон, Бастиан Шарден",Где купить?
Программирование для детей на языке Python,Нет цены,Александр Банкрашков,Где купить?
GPT-3: программирование на PYTHON в примерах,Нет цены,Эль Амри Аймен,Где купить?
Основы Data Science и Big Data. Python и наука о данных,Нет цены,,Где купить?
Django: практика создания Web-сайтов на Python,Нет цены,Владимир Дронов,Где купить?
Вероятностное программирование на Python: байесовский вывод и алгоритмы,Нет цены,Кэмерон Дэвидсон-Пайлон,Где купить?
Алгоритмы на графах. Использование языка Python,Нет цены,Олег Мельников,Где купить?
Практикум по анализу данных на языках Python и R: Учебное пособие,Нет цены,"О. Баюк, Мариам Исаева, Максим Самсонкин",Где купить?
"Стержень гелевый ""InColor Purple Python"" синий, ErichKrause",Нет цены,Стержни для ручек,Где купить?
Python. Карманный справочник,Нет цены,Марк Лутц,Буду ждать
"Python: создание приложений. Библиотека профессионала, 3-е издание",Нет цены,,Буду ждать
Python и анализ данных,Нет цены,,Буду ждать
Python для финансовых расчетов. Искусство работы с финансовыми данными,Нет цены,,Буду ждать
Python. К вершинам мастерства,Нет цены,Лучано Рамальо,Буду ждать
Python Справочник Полное описание языка (3 изд.) Мартелли,Нет цены,Алекс Мартелли,Буду ждать
Python. Самое необходимое /+ Видеокурс (на DVD),Нет цены,Николай Прохоренок,Буду ждать
"Python и машинное обучение. Машинное и глубокое обучение с использованием Python, scikit-learn и TensorFlow",Нет цены,,Буду ждать
PYTHON и анализ данных,Нет цены,Уэс Маккинни,Буду ждать
Python и наука о данных для чайников,Нет цены,,Буду ждать
Python и машинное обучение,Нет цены,Себастьян Рашка,Буду ждать
Python 3 и PyQt. Разработка приложений,Нет цены,Николай Прохоренок,Буду ждать
Python для чайников,Нет цены,Джон Пол Мюллер,Буду ждать
Python для детей и родителей,Нет цены,Михаил Райтман,Буду ждать
Python для программирования криптовалют,Нет цены,Джимми Сонг,Буду ждать
Python. Наиболее полное руководство,Нет цены,,Буду ждать
Программирование на Python 3. Подробное руководство,Нет цены,,Буду ждать
Изучаем Python. Том 2,Нет цены,Марк Лутц,Буду ждать
Программирование на языке Python: учебный курс,Нет цены,Роберт Седжвик,Буду ждать
Построение систем машинного обучения на языке Python,Нет цены,,Буду ждать
Автоматизация рутинных задач с помощью Python: практическое руководство для начинающих,Нет цены,Эл Свейгарт,Буду ждать
"Стандартная библиотека Python 3: справочник с примерами, 2-е издание",Нет цены,Даг Хеллман,Буду ждать
Изучаем Python. Том 1,Нет цены,Марк Лутц,Буду ждать
"Вычислительная математика на смартфонах, коммуникаторах и ноутбуках с использованием программных сред Python: Учебное пособие.",Нет цены,Игорь Соловьев,Буду ждать
Автостопом по Python,Нет цены,"Кеннет Ритц, Таня Шлюссер",Буду ждать
PYCHARM: профессиональная работа на PYTHON,Нет цены,Куан Нгуен,Буду ждать
"Паттерны разработки на Python: TDD, DDD и событийно-ориентированная архитектура",Нет цены,Гарри Персиваль,Буду ждать
"Алгоритмы. Справочник с примерами на C, C++, Java и Python, 2-е издание",Нет цены,"Гэри Поллис, Стэнли Селков, Джордж Хайнеманн",Буду ждать
Сверхбыстрый Python. Эффективные техники для работы с большими наборами данных,Нет цены,Тиаго Антао,Буду ждать
Криптография и взлом шифров на Python,Нет цены,Эл Свейгарт,Буду ждать
Программирование на Python: базовый курс,Нет цены,,Буду ждать
Язык программирования Python: практикум. Учебное пособие,Нет цены,Роман Жуков,Буду ждать
Объяснимые модели искусственного интеллекта на Python,Нет цены,Прадипта Мишра,Буду ждать
Прикладной анализ текстовых данных на Python. Машинное обучение и создание приложений обработки естественного языка,Нет цены,"Бенджамин Бенгфорт, Ребекка Билбро, Тони Охеда",Буду ждать
Графика на PYTHON. Создание 2D- и 3D-изображений для научной графики и презентаций,Нет цены,,Буду ждать
Практическое введение в решение дифференциальных уравнений в Python,Нет цены,Николай Ершов,Буду ждать
Генетические алгоритмы на Python. Применение генетических алгоритмов к решению задач глубокого обучения и искуственного интеллекта,Нет цены,Эйял Вирсански,Буду ждать
Django. Разработка веб-приложений на Python. - Пер. с англ.,Нет цены,,Буду ждать
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта с помощью Python для взаимодействия с окружающим миром,Нет цены,,Буду ждать
Численные методы. Вычислительный практикум. Практическое применение численных методов при использовании алгоритмического языка Python,Нет цены,Петр Вабищевич,Буду ждать
Язык программирования Python. Учебное пособие,Нет цены,Роман Жуков,Буду ждать
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие для вузов,Нет цены,"Сергей Букунов, Ольга Букунова",Буду ждать
Современный скрапинг веб-сайтов с помощью Python,Нет цены,Райан Митчелл,Буду ждать
Устройство и программирование автономных роботов. Проекты на PYTHON и RASPBERRY PI,Нет цены,Дэнни Стейпл,Буду ждать
Секреты Python: 59 рекомендаций по написанию эффективного кода,Нет цены,"А.Г. Гузикевич, Бретт Слаткин",Буду ждать
Автоматизация рутинных задач с помощью Python. Практическое руководство для начинающих. 2-е издание,Нет цены,Эл Свейгарт,Буду ждать
Предварительная подготовка данных в PYTHON. Том 1. Инструменты и валидация,Нет цены,Артем Груздев,Буду ждать
Алгебра и геометрия с примерами на Python. Учебное пособие для вузов,Нет цены,,Буду ждать
Программируем с Minecraft. Создай свой мир с помощью Python,Нет цены,Крейг Ричардсон,Буду ждать
Программирование компьютерного зрения на Python,Нет цены,Ян Солем,Буду ждать
Задачи по дискретной математике с алгоритмами на Python,Нет цены,"Сергей Борзунов, Сергей Кургалин",Буду ждать
Программирование на языке высокого уровня Python. Учебное пособие для СПО,Нет цены,Дмитрий Федоров,Буду ждать
Введение в машинное обучение с помощью Python. Руководство для специалистов по работе с данными,Нет цены,Андреас Мюллер,Буду ждать
Основы алгоритмизации и программирования на Python,Нет цены,Сергей Гуриков,Буду ждать
Прикладное машинное обучение без учителя с использованием Python,Нет цены,,Буду ждать
Учимся программировать с примерами на Python,Нет цены,"Элизабет Фримен, Эрик Фримен",Буду ждать
Язык Python и его применение (учебное пособие) (Основы Информационных Технологий). Сузи Р. (Бином,Нет цены,,Буду ждать
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем искусственного интеллекта на Python,Нет цены,,Буду ждать
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",Нет цены,"Анирад Коул, Казам Мехер, Ганджу Сиддха",Буду ждать
Машинное обучение: карманный справочник. Краткое руководство по методам структурированного машинного обучения на Python,Нет цены,Мэтт Харрисон,Буду ждать
GPT-3: программирование на PYTHON в примерах,Нет цены,Эль Амри Аймен,Буду ждать
Программируем на Python в Minecraft,Нет цены,,Буду ждать
